Using device: mps
======================================================================
Training model: MLP
======================================================================
Total trainable parameters: 795,010
Starting strategy: constant
constant | Epoch 14 | Train Loss: 0.0347 | Train Acc: 99.0367% | Test Loss: 0.0726 | Test Acc: 97.8100% | LR: 0.010000 | Time: 8.93s
constant | Epoch 15 | Train Loss: 0.0289 | Train Acc: 99.2433% | Test Loss: 0.0690 | Test Acc: 97.9600% | LR: 0.010000 | Time: 8.93s
constant | Epoch 16 | Train Loss: 0.0249 | Train Acc: 99.4083% | Test Loss: 0.0722 | Test Acc: 97.9000% | LR: 0.010000 | Time: 8.78s
constant | Epoch 17 | Train Loss: 0.0211 | Train Acc: 99.5317% | Test Loss: 0.0695 | Test Acc: 97.8500% | LR: 0.010000 | Time: 8.91s
constant | Epoch 18 | Train Loss: 0.0176 | Train Acc: 99.6400% | Test Loss: 0.0680 | Test Acc: 97.9500% | LR: 0.010000 | Time: 8.91s
constant | Epoch 19 | Train Loss: 0.0150 | Train Acc: 99.7050% | Test Loss: 0.0678 | Test Acc: 97.8900% | LR: 0.010000 | Time: 9.04s
constant | Epoch 20 | Train Loss: 0.0124 | Train Acc: 99.7700% | Test Loss: 0.0707 | Test Acc: 98.0200% | LR: 0.010000 | Time: 9.02s
constant | Epoch 21 | Train Loss: 0.0106 | Train Acc: 99.8283% | Test Loss: 0.0684 | Test Acc: 98.0300% | LR: 0.010000 | Time: 8.90s
constant | Epoch 22 | Train Loss: 0.0088 | Train Acc: 99.8933% | Test Loss: 0.0685 | Test Acc: 98.0300% | LR: 0.010000 | Time: 8.85s
constant | Epoch 23 | Train Loss: 0.0073 | Train Acc: 99.9250% | Test Loss: 0.0700 | Test Acc: 97.9700% | LR: 0.010000 | Time: 8.94s
constant | Epoch 24 | Train Loss: 0.0064 | Train Acc: 99.9400% | Test Loss: 0.0671 | Test Acc: 98.0100% | LR: 0.010000 | Time: 9.00s
constant | Epoch 25 | Train Loss: 0.0055 | Train Acc: 99.9500% | Test Loss: 0.0697 | Test Acc: 98.0300% | LR: 0.010000 | Time: 9.02s
constant | Epoch 26 | Train Loss: 0.0047 | Train Acc: 99.9667% | Test Loss: 0.0728 | Test Acc: 98.0200% | LR: 0.010000 | Time: 8.68s
constant | Epoch 27 | Train Loss: 0.0042 | Train Acc: 99.9733% | Test Loss: 0.0729 | Test Acc: 98.0100% | LR: 0.010000 | Time: 8.97s
constant | Epoch 28 | Train Loss: 0.0035 | Train Acc: 99.9833% | Test Loss: 0.0724 | Test Acc: 98.0300% | LR: 0.010000 | Time: 8.86s
constant | Epoch 29 | Train Loss: 0.0031 | Train Acc: 99.9883% | Test Loss: 0.0733 | Test Acc: 98.0200% | LR: 0.010000 | Time: 8.84s
constant | Epoch 30 | Train Loss: 0.0027 | Train Acc: 99.9917% | Test Loss: 0.0747 | Test Acc: 98.0300% | LR: 0.010000 | Time: 8.91s
Starting strategy: momentum
momentum | Epoch 1 | Train Loss: 0.3979 | Train Acc: 88.0267% | Test Loss: 0.1195 | Test Acc: 96.3900% | LR: 0.010000 | Time: 8.99s
momentum | Epoch 2 | Train Loss: 0.0935 | Train Acc: 97.1167% | Test Loss: 0.0914 | Test Acc: 97.0600% | LR: 0.010000 | Time: 9.01s
momentum | Epoch 3 | Train Loss: 0.0573 | Train Acc: 98.1833% | Test Loss: 0.0818 | Test Acc: 97.4700% | LR: 0.010000 | Time: 8.97s
momentum | Epoch 4 | Train Loss: 0.0346 | Train Acc: 98.9083% | Test Loss: 0.0841 | Test Acc: 97.5500% | LR: 0.010000 | Time: 8.95s
momentum | Epoch 5 | Train Loss: 0.0240 | Train Acc: 99.2650% | Test Loss: 0.0733 | Test Acc: 97.9200% | LR: 0.010000 | Time: 8.99s
